0,PermitNo,DayOfWeek,Date,StartTime,EndTime,TotalHours,Event,Field,Park,FieldInPark,Group,YorA,IntOrExt
1,3994,Wednesday,28-Feb-18,20,22,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Oneida FC Soccer #3994,Adult Athletics,External Reservation
2,3672,Monday,5-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
3,3672,Monday,5-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
4,3672,Tuesday,6-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
5,3672,Tuesday,6-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
6,3672,Wednesday,7-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
7,3672,Wednesday,7-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
8,3672,Thursday,8-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
9,3672,Thursday,8-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
10,3672,Friday,9-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
11,3672,Friday,9-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
12,3672,Saturday,10-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
13,3672,Saturday,10-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
14,3672,Sunday,11-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
15,3672,Sunday,11-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
16,3672,Monday,12-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
17,3672,Monday,12-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
18,3994,Monday,12-Mar-18,20,22,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Oneida FC Soccer #3994,Adult Athletics,External Reservation
19,3672,Tuesday,13-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
20,3672,Tuesday,13-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
21,3672,Wednesday,14-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
22,3672,Wednesday,14-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
23,3672,Thursday,15-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
24,3672,Thursday,15-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
25,3672,Friday,16-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
26,3672,Friday,16-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
27,3672,Saturday,17-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
28,3672,Saturday,17-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
