Date,PercUsed
2/28/18,0.25
3/7/18,0.25
3/8/18,0.25
3/10/18,0.857142857
3/15/18,0.5
3/16/18,0.5
3/23/18,0.5
3/26/18,0.5
4/1/18,0.857142857
4/3/18,1
4/4/18,0.5
4/6/18,1
4/7/18,0.857142857
4/8/18,0.857142857
4/9/18,0.75
4/10/18,0.5
4/11/18,1
4/12/18,1
4/13/18,0.5
4/14/18,0.857142857
4/15/18,1
4/16/18,1
4/17/18,1
4/18/18,0.5
4/19/18,0.25
4/21/18,0.428571429
4/23/18,0.25
4/24/18,1
4/26/18,0.5
4/27/18,1
4/28/18,0.857142857
4/29/18,1
4/30/18,0.5
5/3/18,0.375
5/4/18,0.25
5/5/18,0.857142857
5/6/18,0.857142857
5/7/18,1
5/8/18,1
5/9/18,1
5/10/18,0.75
5/14/18,0.375
5/15/18,1
5/16/18,1
5/17/18,0.875
5/18/18,1
5/19/18,0.857142857
5/20/18,0.857142857
5/21/18,0.5
5/22/18,0.5
5/23/18,0.5
5/24/18,1
5/26/18,1
5/27/18,0.857142857
5/28/18,1
5/29/18,0.5
5/31/18,0.75
6/1/18,0.5
6/2/18,0.857142857
6/4/18,0.25
6/5/18,0.25
6/6/18,1
6/7/18,0.875
6/8/18,1
6/10/18,0.857142857
6/11/18,0.375
6/12/18,1
6/13/18,1
6/14/18,0.375
6/16/18,0.857142857
6/17/18,0.857142857
6/18/18,0.75
6/19/18,1
6/20/18,0.25
6/21/18,0.142857143
6/22/18,0.214285714
6/27/18,0.428571429
6/28/18,0.214285714
6/29/18,0.857142857
6/30/18,0.428571429
7/1/18,1
7/4/18,0.142857143
7/8/18,0.857142857
7/9/18,0.857142857
7/10/18,0.857142857
7/11/18,1
7/12/18,0.857142857
7/13/18,0.857142857
7/15/18,0.571428571
7/16/18,0.214285714
7/18/18,0.857142857
7/19/18,1
7/21/18,0.428571429
7/22/18,0.285714286
7/26/18,0.5
7/27/18,1
7/28/18,0.857142857
7/29/18,0.857142857
7/30/18,1
8/1/18,0.214285714
8/7/18,1
8/8/18,0.5
8/10/18,0.857142857
8/11/18,1
8/14/18,0.857142857
8/16/18,0.142857143
8/18/18,0.857142857
8/19/18,0.857142857
8/23/18,1
8/24/18,1
8/26/18,0.285714286
8/27/18,1
8/29/18,0.571428571
8/31/18,0.857142857
9/2/18,0.642857143
9/5/18,0.285714286
9/6/18,0.75
9/7/18,0.5
9/8/18,1
9/9/18,0.571428571
9/10/18,0.5
9/11/18,0.5
9/12/18,0.375
9/13/18,0.5
9/14/18,1
9/15/18,0.857142857
9/18/18,0.75
9/19/18,0.75
9/20/18,0.5
9/23/18,0.857142857
9/25/18,0.5
9/28/18,1
9/29/18,0.428571429
9/30/18,0.571428571
10/1/18,0.25
10/3/18,0.5
10/4/18,1
10/5/18,1
10/9/18,1
10/10/18,0.75
10/11/18,1
10/13/18,0.285714286
